10-06-2024 16:52:06:8797 | transfer.txt | from: 12345-67891 | to: 45678-53528 | 1000 | Перевод(пополнение) успешно выполнен
27-05-2024 17:44:36:4274 | transfer.txt | from: 52578-33328 | to: 12324-98691 | 4000 | Перевод(пополнение) успешно выполнен
27-05-2024 17:44:36:4274 | transfer.txt | from: 12324-98691 | to: 74778-77728 | 350 | Перевод(пополнение) успешно выполнен
27-05-2024 17:44:36:4274 | transfer.txt | from: 74778-77728 | to: 99999-88888 | -100 | Перевод(снятие) успешно выполнен
03-06-2024 16:49:32:3383 | transfer.txt | from: 12345-67891 | to: 45678-53528 | 1000 | Перевод(пополнение) успешно выполнен
03-06-2024 16:49:32:3503 | transfer.txt | from: 45678-53528 | to: 13215-25891 | 500 | Перевод(пополнение) успешно выполнен
03-06-2024 16:49:32:3503 | transfer.txt | from: 13215-25891 | to: 52578-33328 | -1800 | Перевод(снятие) успешно выполнен
03-06-2024 16:49:32:3503 | transfer.txt | from: 52578-33328 | to: 12324-98691 | 4000 | Перевод(пополнение) успешно выполнен
03-06-2024 16:49:32:3503 | transfer.txt | from: 12324-98691 | to: 74778-77728 | 350 | Перевод(пополнение) успешно выполнен
03-06-2024 16:49:32:3503 | transfer.txt | from: 74778-77728 | to: 99999-88888 | -100 | Перевод(снятие) успешно выполнен
03-06-2024 16:59:10:8644 | transfer.txt | from: 12345-67891 | to: 45678-53528 | 1000 | Перевод(пополнение) успешно выполнен
03-06-2024 16:59:10:8764 | transfer.txt | from: 45678-53528 | to: 13215-25891 | 500 | Перевод(пополнение) успешно выполнен
03-06-2024 16:59:10:8764 | transfer.txt | from: 13215-25891 | to: 52578-33328 | -1800 | Перевод(снятие) успешно выполнен
03-06-2024 16:59:10:8764 | transfer.txt | from: 52578-33328 | to: 12324-98691 | 4000 | Перевод(пополнение) успешно выполнен
03-06-2024 16:59:10:8764 | transfer.txt | from: 12324-98691 | to: 74778-77728 | 350 | Перевод(пополнение) успешно выполнен
11-06-2024 16:59:10:8764 | transfer.txt | from: 74778-77728 | to: 99999-88888 | -100 | Перевод(снятие) успешно выполнен
11-06-2024 17:00:47:0318 | transfer.txt | from: 12345-67891 | to: 45678-53528 | 1000 | Перевод(пополнение) успешно выполнен
11-06-2024 17:00:47:0427 | transfer.txt | from: 45678-53528 | to: 13215-25891 | 500 | Перевод(пополнение) успешно выполнен
11-06-2024 17:00:47:0427 | transfer.txt | from: 13215-25891 | to: 52578-33328 | -1800 | Перевод(снятие) успешно выполнен
11-06-2024 17:00:47:0427 | transfer.txt | from: 52578-33328 | to: 12324-98691 | 4000 | Перевод(пополнение) успешно выполнен
11-06-2024 17:00:47:0427 | transfer.txt | from: 12324-98691 | to: 74778-77728 | 350 | Перевод(пополнение) успешно выполнен
11-06-2024 17:00:47:0427 | transfer.txt | from: 74778-77728 | to: 99999-88888 | -100 | Перевод(снятие) успешно выполнен
11-06-2024 17:19:04:9254 | transfer.txt | from: 12345-67891 | to: 45678-53528 |  | Перевод от 12345-67891 к 45678-53528 не выполнен, так-как не корректно указана сумма, он содержит 0.0
11-06-2024 17:19:04:9335 | transfer.txt | from: 45678-53528 | to: 13215-25891 |  | Перевод от 45678-53528 к 13215-25891 не выполнен, так-как не корректно указана сумма, он содержит 0.0
11-06-2024 17:19:04:9335 | transfer.txt | from: 13215-25891 | to: 52578-33328 |  | Перевод от 13215-25891 к 52578-33328 не выполнен, так-как не корректно указана сумма, он содержит 0.0
11-06-2024 17:19:04:9335 | transfer.txt | from: 52578-33328 | to: 12324-98691 |  | Перевод от 52578-33328 к 12324-98691 не выполнен, так-как не корректно указана сумма, он содержит 0.0
11-06-2024 17:19:04:9335 | transfer.txt | from: 12324-98691 | to: 74778-77728 |  | Перевод от 12324-98691 к 74778-77728 не выполнен, так-как не корректно указана сумма, он содержит 0.0
11-06-2024 17:19:04:9335 | transfer.txt | from: 74778-77728 | to: 99999-88888 |  | Перевод от 74778-77728 к 99999-88888 не выполнен, так-как не корректно указана сумма, он содержит 0.0
12-06-2024 08:55:06:4758 | transfer.txt | from: 12345-67891 | to: 45678-53528 | 1000.15 | Перевод(пополнение) успешно выполнен
12-06-2024 08:55:06:4858 | transfer.txt | from: 45678-53528 | to: 13215-25891 | 500.55 | Перевод(пополнение) успешно выполнен
12-06-2024 08:55:06:4858 | transfer.txt | from: 13215-25891 | to: 52578-33328 | -1800.85 | Перевод(снятие) успешно выполнен
12-06-2024 08:55:06:4858 | transfer.txt | from: 52578-33328 | to: 12324-98691 | 4000.9 | Перевод(пополнение) успешно выполнен
12-06-2024 08:55:06:4858 | transfer.txt | from: 12324-98691 | to: 74778-77728 | 350.33 | Перевод(пополнение) успешно выполнен
12-06-2024 08:55:06:4858 | transfer.txt | from: 74778-77728 | to: 99999-88888 | -100.2 | Перевод(снятие) успешно выполнен
12-06-2024 09:30:45:5343 | transfer.txt | from: 12345-67891 | to: 45678-53528 | 1000.15 | Перевод(пополнение) успешно выполнен
12-06-2024 09:30:45:5453 | transfer.txt | from: 45678-53528 | to: 13215-25891 | 500.55 | Перевод(пополнение) успешно выполнен
12-06-2024 09:30:45:5453 | transfer.txt | from: 13215-25891 | to: 52578-33328 | -1800.85 | Перевод(снятие) успешно выполнен
12-06-2024 09:30:45:5453 | transfer.txt | from: 52578-33328 | to: 12324-98691 | 4000.9 | Перевод(пополнение) успешно выполнен
12-06-2024 09:30:45:5453 | transfer.txt | from: 12324-98691 | to: 74778-77728 | 350.33 | Перевод(пополнение) успешно выполнен
12-06-2024 09:30:45:5453 | transfer.txt | from: 74778-77728 | to: 99999-88888 | -100.2 | Перевод(снятие) успешно выполнен
12-06-2024 09:32:04:9696 | transfer.txt | from: 12345-67891 | to: 45678-53528 | 1000.15 | Перевод(пополнение) успешно выполнен
12-06-2024 09:32:04:9816 | transfer.txt | from: 45678-53528 | to: 13215-25891 | 500.55 | Перевод(пополнение) успешно выполнен
12-06-2024 09:32:04:9826 | transfer.txt | from: 13215-25891 | to: 52578-33328 | -1800.85 | Перевод(снятие) успешно выполнен
12-06-2024 09:32:04:9826 | transfer.txt | from: 52578-33328 | to: 12324-98691 | 4000.9 | Перевод(пополнение) успешно выполнен
12-06-2024 09:32:04:9826 | transfer.txt | from: 12324-98691 | to: 74778-77728 | 350.33 | Перевод(пополнение) успешно выполнен
12-06-2024 09:32:04:9826 | transfer.txt | from: 74778-77728 | to: 99999-88888 | -100.2 | Перевод(снятие) успешно выполнен
12-06-2024 09:34:15:7528 | transfer.txt | from: 12345-67891 | to: 45678-53528 | 1000.15 | Перевод(пополнение) успешно выполнен
12-06-2024 09:34:15:7628 | transfer.txt | from: 45678-53528 | to: 13215-25891 | 500.55 | Перевод(пополнение) успешно выполнен
12-06-2024 09:34:15:7628 | transfer.txt | from: 13215-25891 | to: 52578-33328 | -1800.85 | Перевод(снятие) успешно выполнен
12-06-2024 09:34:15:7628 | transfer.txt | from: 52578-33328 | to: 12324-98691 | 4000.9 | Перевод(пополнение) успешно выполнен
12-06-2024 09:34:15:7628 | transfer.txt | from: 12324-98691 | to: 74778-77728 | 350.33 | Перевод(пополнение) успешно выполнен
12-06-2024 09:34:15:7628 | transfer.txt | from: 74778-77728 | to: 99999-88888 | -100.2 | Перевод(снятие) успешно выполнен
